info1,info2,info_draft,info_team,name,sc_price
"
Age: 21yr 8mth    Games: 20     Born: June 26, 1997    
","
Height: 195cm    
Weight: 97kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #9 ",,Sam Weideman,"
Supercoach Price: $242,900
  "
"
Age: 25yr 8mth    Games: 85     Born: June 28, 1993    
","
Height: 188cm    
Weight: 79kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #42 ",,Jimmy Webster,"
Supercoach Price: $472,300
  "
"
Age: 22yr 11mth    Games: 24     Born: March 4, 1996    
","
Height: 187cm    
Weight: 84kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #27 ",,Lukas Webb,"
Supercoach Price: $249,200
  "
"
Age: 27yr 11mth    Games: 172     Born: March 26, 1991    
","
Height: 195cm    
Weight: 90kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #1 ",,Jack Watts,"
Supercoach Price: $361,100
  "
"
Age: 21yr 3mth    Games: 0     Born: December 3, 1997    
","
Height: 190cm    
Weight: 84kg    
Position:
            Defender,
                Midfield
      ","
Last Drafted: Round 2, Pick #22 ",,Tobe Watson,"
Supercoach Price: $102,400
  "
"
Age: 23yr 5mth    Games: 0     Born: September 29, 1995    
","
Height: 187cm    
Weight: 79kg    
Position:
            Defender
      ",,,Francis Watson,"
Supercoach Price: $123,900
  "
"
Age: 20yr 5mth    Games: 0     Born: September 17, 1998    
","
Height: 191cm    
Weight: 87kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #34 ",,Declan Watson,"
Supercoach Price: $123,900
  "
"
Age: 20yr 9mth    Games: 16     Born: May 6, 1998    
","
Height: 191cm    
Weight: 92kg    
Position:
            Forward
      ","
Last Drafted: Round 6, Pick #77 ",,Jake Waterman,"
Supercoach Price: $304,700
  "
"
Age: 28yr 10mth    Games: 216     Born: April 10, 1990    
","
Height: 187cm    
Weight: 84kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #19 ",,Callan Ward,"
Supercoach Price: $568,000
  "
"
Age: 28yr 1mth    Games: 129     Born: January 7, 1991    
","
Height: 177cm    
Weight: 75kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 4, Pick #53 ",,Michael Walters,"
Supercoach Price: $476,800
  "
"
Age: 18yr 8mth    Games: 0     Born: July 2, 2000    
","
Height: 184cm    
Weight: 77kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #1 ",,Sam Walsh,"
Supercoach Price: $207,300
  "
"
Age: 26yr 4mth    Games: 123     Born: October 24, 1992    
","
Height: 186cm    
Weight: 85kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 1, Pick #22 ",,Mitchell Wallis,"
Supercoach Price: $498,800
  "
"
Age: 19yr 11mth    Games: 4     Born: March 30, 1999    
","
Height: 186cm    
Weight: 78kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #23 ",,Will Walker,"
Supercoach Price: $199,100
  "
"
Age: 28yr 10mth    Games: 167     Born: April 25, 1990    
","
Height: 193cm    
Weight: 102kg    
Position:
            Forward
      ","
Last Drafted: Round 6, Pick #75 ",,Taylor Walker,"
Supercoach Price: $343,500
  "
"
Age: 19yr     Games: 0     Born: February 14, 2000    
","
Height: 188cm    
Weight: 82kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 4, Pick #63 ",,Mathew Walker,"
Supercoach Price: $117,300
  "
"
Age: 26yr 3mth    Games: 74     Born: November 12, 1992    
","
Height: 197cm    
Weight: 100kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #54 ",,Joshua Walker,"
Supercoach Price: $389,700
  "
"
Age: 23yr 5mth    Games: 0     Born: September 12, 1995    
","
Height: 184cm    
Weight: 76kg    
Position:
            Defender,
                Forward
      ",,,Guy Walker,"
Supercoach Price: $102,400
  "
"
Age: 24yr 8mth    Games: 28     Born: June 24, 1994    
","
Height: 189cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #6 ",,Joshua Wagner,"
Supercoach Price: $282,300
  "
"
Age: 21yr 11mth    Games: 8     Born: March 23, 1997    
","
Height: 181cm    
Weight: 78kg    
Position:
            Midfield
      ","
Last Drafted: Round 3, Pick #43 ",,Corey Wagner,"
Supercoach Price: $123,900
  "
"
Age: 24yr 10mth    Games: 117     Born: April 19, 1994    
","
Height: 187cm    
Weight: 87kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #9 ",,Nick Vlastuin,"
Supercoach Price: $442,900
  "
"
Age: 24yr 10mth    Games: 98     Born: April 13, 1994    
","
Height: 178cm    
Weight: 87kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #26 ",,Jack Viney,"
Supercoach Price: $449,500
  "
"
Age: 22yr 11mth    Games: 14     Born: March 28, 1996    
","
Height: 190cm    
Weight: 86kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #36 ",,Ed Vickers-Willis,"
Supercoach Price: $318,300
  "
"
Age: 20yr 3mth    Games: 15     Born: November 19, 1998    
","
Height: 187cm    
Weight: 83kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #13 ",,Daniel Venables,"
Supercoach Price: $258,800
  "
"
Age: 27yr 8mth    Games: 57     Born: June 25, 1991    
","
Height: 200cm    
Weight: 100kg    
Position:
            Forward,
                Ruck
      ","
Last Drafted: Round 3, Pick #42 ",,Nathan Vardy,"
Supercoach Price: $306,400
  "
"
Age: 30yr 10mth    Games: 205     Born: April 10, 1988    
","
Height: 180cm    
Weight: 83kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #15 ",,Travis Varcoe,"
Supercoach Price: $332,800
  "
"
Age: 20yr 1mth    Games: 0     Born: February 3, 1999    
","
Height: 180cm    
Weight: 77kg    
Position:
            Defender,
                Midfield
      ","
Last Drafted: Round 2, Pick #37 ",,Laitham Vandermeer,"
Supercoach Price: $117,300
  "
"
Age: 27yr     Games: 35     Born: March 3, 1992    
","
Height: 188cm    
Weight: 90kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 1, Pick #2 ",,Aaron Vandenberg,"
Supercoach Price: $283,400
  "
"
Age: 18yr 9mth    Games: 0     Born: May 8, 2000    
","
Height: 186cm    
Weight: 82kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #32 ",,Luke Valente,"
Supercoach Price: $117,300
  "
"
Age: 25yr 8mth    Games: 107     Born: June 8, 1993    
","
Height: 186cm    
Weight: 85kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #3 ",,Dom Tyson,"
Supercoach Price: $411,000
  "
"
Age: 23yr 2mth    Games: 58     Born: December 31, 1995    
","
Height: 180cm    
Weight: 75kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #25 ",,Kayne Turner,"
Supercoach Price: $274,100
  "
"
Age: 18yr 2mth    Games: 0     Born: December 26, 2000    
","
Height: 187cm    
Weight: 76kg    
Position:
            Midfield
      ","
Last Drafted: Round 4, Pick #58 ",,Fraser Turner,"
Supercoach Price: $117,300
  "
